"","Th/Ts","T+B+NK count","CRP","PCT","IL-2R","IL-6"
"r1","Th/Ts","T+B+NK count","CRP","PCT","IL-2R","IL-6"
"r2","Th/Ts","T+B+NK count","CRP","PCT","IL-2R","IL-6"
